Vessel Name,Operator,Service,Phase,ETA,ETD,Previous port,Next port,actual_A,actual_D
CMA CGM FORT ROYAL,CMA CGM,NEFWI,INBOUND,17/09/2019 18:00,18/09/2019 10:00,Moin,London Gateway Port,17/09/2019 18:30,18/09/2019 17:23
HANSA ASIA,MSC,ANGEX,INBOUND,17/09/2019 23:00,18/09/2019 09:00,San-Pedro,Antwerp,17/09/2019 23:40,18/09/2019 09:32
MSC LISA,MSC,AEGEAN,INBOUND,18/09/2019 11:00,18/09/2019 23:59,Gent (Ghent),Rotterdam,18/09/2019 11:35,19/09/2019 03:05
MOL GRATITUDE,Ocean Network Express,AL4,INBOUND,18/09/2019 12:00,18/09/2019 23:00,Tuxpan,Southampton,18/09/2019 19:30,19/09/2019 08:45
MSC NEDERLAND,MSC,BL11,INBOUND,18/09/2019 22:00,19/09/2019 03:00,Liverpool,Antwerp,18/09/2019 22:14,19/09/2019 07:05
ER LOS ANGELES,MSC,LEV,INBOUND,19/09/2019 01:00,19/09/2019 23:59,Gent (Ghent),Antwerp,19/09/2019 04:35,20/09/2019 01:37
CMA CGM NIAGARA,CMA CGM,SAWC,INBOUND,19/09/2019 05:00,20/09/2019 04:00,Posorja,Hamburg,19/09/2019 09:37,20/09/2019 04:00
EUROPE,MSC,NWC,INBOUND,19/09/2019 06:00,19/09/2019 22:00,El Dekheila,Rotterdam,19/09/2019 10:44,20/09/2019 02:05
MSC KATYAYNI,MSC,WAF,INBOUND,19/09/2019 16:00,20/09/2019 03:00,Cotonou,Rotterdam,20/09/2019 14:47,21/09/2019 00:18
MSC AINO,MSC,NWC,INBOUND,19/09/2019 22:00,20/09/2019 10:00,El Dekheila,Rotterdam,20/09/2019 05:40,20/09/2019 13:36
BUDAPEST BRIDGE,Ocean Network Express,AL1,INBOUND,20/09/2019 04:00,20/09/2019 18:00,Savannah,Antwerp,20/09/2019 03:35,20/09/2019 19:12
CAP SAN MALEAS,Maersk Line,SAEC1,INBOUND,20/09/2019 06:00,20/09/2019 23:00,Gent (Ghent),Hamburg,20/09/2019 06:48,21/09/2019 03:05
MOL PROFICIENCY,Ocean Network Express,SAECS,INBOUND,20/09/2019 07:00,20/09/2019 23:00,Rotterdam,Bremerhaven,20/09/2019 20:45,21/09/2019 11:08
ELBSAILOR,Ocean Network Express,IB1,INBOUND,20/09/2019 22:00,21/09/2019 06:00,Antwerp,Leixoes,21/09/2019 01:06,21/09/2019 08:15
CMA CGM SAINT LAURENT,CMA CGM,NEFGUI,INBOUND,21/09/2019 07:00,21/09/2019 16:00,Le Havre,Rotterdam,21/09/2019 14:45,22/09/2019 05:08
SEASPAN YANGTZE,HAPAG LLOYD,EPIC,INBOUND,21/09/2019 12:00,22/09/2019 05:00,Le Havre,Hamburg,21/09/2019 13:45,22/09/2019 13:10
NYK SWAN,Ocean Network Express,FE3,INBOUND,21/09/2019 20:00,22/09/2019 17:00,Antwerp,Piraeus,21/09/2019 20:47,23/09/2019 17:15
BALAO,HAPAG LLOYD,CES,INBOUND,22/09/2019 06:00,22/09/2019 21:00,Moin,Vlissingen,22/09/2019 14:22,23/09/2019 04:00
ER YOKOHAMA,MSC,AUS,INBOUND,22/09/2019 11:00,23/09/2019 01:00,Damietta,Antwerp,22/09/2019 07:00,22/09/2019 17:00
APL NEW YORK,CMA CGM,EPIC1,INBOUND,22/09/2019 16:00,23/09/2019 16:00,Mundra,Rotterdam,22/09/2019 19:18,23/09/2019 19:00
JAZAN,HAPAG LLOYD,NEMO,INBOUND,22/09/2019 23:00,23/09/2019 15:00,Malta Freeport Distripark,Hamburg,23/09/2019 21:36,24/09/2019 15:42
LICA MAERSK,Maersk Line,CLX,INBOUND,23/09/2019 18:00,24/09/2019 10:00,TERMINAL CONTECAR,Rotterdam,23/09/2019 18:38,24/09/2019 09:25
CHARLESTON EXPRESS,HAPAG LLOYD,AL3,INBOUND,24/09/2019 06:00,24/09/2019 17:00,Norfolk,Bremerhaven,24/09/2019 18:00,25/09/2019 09:05
MAERSK HORSBURGH,Maersk Line,AE7,INBOUND,24/09/2019 06:00,25/09/2019 06:00,Nansha,Piraeus,24/09/2019 05:27,25/09/2019 10:05
DIMITRIS C,Hamburg Sud,NEFWI,INBOUND,24/09/2019 18:00,25/09/2019 06:00,Moin,London Gateway Port,25/09/2019 05:14,25/09/2019 17:13
MOL GLIDE,Ocean Network Express,AL4,INBOUND,25/09/2019 06:00,25/09/2019 23:00,Tuxpan,Southampton,25/09/2019 18:40,26/09/2019 09:20
MSC CANDICE,MSC,NWC,INBOUND,25/09/2019 06:00,25/09/2019 18:00,El Dekheila,Rotterdam,25/09/2019 11:30,26/09/2019 03:00
MSC ANNICK,MSC,AEGEAN,INBOUND,25/09/2019 07:00,26/09/2019 07:00,Gent (Ghent),Rotterdam,25/09/2019 12:28,26/09/2019 06:00
SEATRADE WHITE,CMA CGM,PAD,INBOUND,25/09/2019 23:59,26/09/2019 11:00,Antwerp,Savannah,26/09/2019 04:02,26/09/2019 10:56
